statut;commune;adresse;code_postal;cedex;telephone;fax;courriel;code_insee_geo;code_postal_geo;code_etab;nom;adresse1;adresse2;geo_code
Public;BANNALEC;Place Pierre Boëdec  BP 26;29380;;02.98.39.81.81;02 98 39 44 88;ce.0291086y@ac-rennes.fr;29004;29380;1086Y;Jean Jaurès;Place Pierre Boëdec;BP 26;47.931974, -3.692319
Public;BREST;3 rue de Touraine  BP 63157;29231;CEDEX 3;02.98.03.12.41;02 98.01.40.02;ce.0290149e@ac-rennes.fr;29019;29200;0149E;Joséphine Baker (ex Kerhallet);3 rue de Touraine;BP 63157;48.40388, -4.511321
Public;BREST;7 Place de Strasbourg  BP 92349;29220;CEDEX 2;02.98.41.09.00;02 98.41.09.01;ce.0290009c@ac-rennes.fr;29019;29200;0009C;Iroise;7 Place de Strasbourg;BP 92349;48.401907, -4.466252
Public;BREST;2 rue Fontaine Margot  BP 93106;29287;CEDEX 3;02.98.45.19.88;02 98.05.26.82;ce.0291089b@ac-rennes.fr;29019;29200;1103S;Les Iles-du-Ponant;2 rue Fontaine Margot;BP 93106;48.383298, -4.540197
Privé;BREST;20 rue Lamotte Picquet BP 22021;29200;;02.98.44.76.82;02 98 43 30 65;grp29.ste-anne.brest@enseignement-catholique.bzh;29019;29200;1868Y;Sainte-Anne;20 rue Lamotte Picquet;BP 22021;48.396651, -4.490227
Public;BRIEC;17 rue de la Boissière;29510;;02.98.57.90.65;02 98.57.74.39;ce.0290019n@ac-rennes.fr;29020;29510;0019N;Pierre Stéphan;17 rue de la Boissière;;48.099504, -3.997077
Public;CARHAIX-PLOUGUER;Rue de Beg Avel;29270;;02.98.93.15.31;02 98 99 10 37;ce.0291102r@ac-rennes.fr;29024;29270;1102R;Beg-Avel;Rue de Beg Avel;;48.279593, -3.552679
Public;CHATEAULIN;10 rue du Lycée;29150;;02.98.86.12.15;02 98.86.39.90;ce.0290023t@ac-rennes.fr;29026;29150;0023T;Jean Moulin;10 rue du Lycée;;48.194223, -4.08852
Privé;CHATEAULIN;63 grand-rue BP 65;29150;;02.98.86.59.00;02 98 86 13 96;grp29.st-louis.chateaulin@enseignement-catholique.bzh;29026;29150;1872C;Saint-Louis;63 grand-rue;BP 65;48.196838, -4.086041
Public;CHATEAUNEUF-DU-FAOU;29 rue des Fontaines;29520;;02 98 81 77 94;02 98 73 22 40;ce.0292006y@ac-rennes.fr;29027;29520;2006Y;De L'Aulne;29 rue des Fontaines;;48.190598, -3.818052
Public;CONCARNEAU;Avenue Robert Jan  BP 236;29182;CEDEX;02.98.97.12.64;02 98.97.86.16;ce.0290132l@ac-rennes.fr;29039;29900;0132L;Les Sables Blancs;Avenue Robert Jan;BP 236;47.877724, -3.92687
Public;CROZON;10 rue Nominoë  BP 27;29160;;02.98.27.04.44;02 98.26.20.31;ce.0290032c@ac-rennes.fr;29042;29160;0032C;Alain;10 rue Nominoë;BP 27;48.250942, -4.490739
Public;DIRINON;Coat Mez BP 30;29460;;02.98.25.80.75;02 98 25 92 00;ce.0290033d@ac-rennes.fr;29045;29460;0033D;Coat-Mez;Coat Mez;BP 30;48.370748, -4.278839
Public;DOUARNENEZ;2 place du Lycée  BP 226;29172;CEDEX;02.98.92.48.13;02 98.92.42.19;ce.0290034e@ac-rennes.fr;29046;29100;0034E;Jean-Marie Le Bris;2 place du Lycée;BP 226;48.084766, -4.32409
Public;FOUESNANT;résidence de Kervihan BP 8;29170;;02.98.51.61.51;02 98 51 61 59;ce.0291101p@ac-rennes.fr;29058;29170;1101P;Kervihan;résidence de Kervihan;BP 8;47.898199, -4.023114
Public;GUILERS;23 Route de Bohars;29820;;02.98.07.53.00;02 98 07 47 61;ce.0291716h@ac-rennes.fr;29069;29820;1716H;Croas-ar-Pennoc;23 Route de Bohars;;48.425264, -4.549798
Privé;LANDERNEAU;4 rue Hervé de Guébriant;29419;;02.98.85.12.55;02 98 85 45 67;grp29.les-2-rives.landerneau@enseignement-catholique.bzh;29103;29800;1874E;Saint-Sébastien;4 rue Hervé de Guébriant;;48.450976, -4.258386
Privé;LANDIVISIAU;8 rue du Château d'eau   B.P. 50329;29403;;02.98.68.11.92;02 98 68 92 40;col29.st-joseph.landivisiau@enseignement-catholique.bzh;29105;29400;1640A;Saint-Joseph;8 rue du Château d'eau;B.P. 50329;48.510876, -4.066813
Public;LE GUILVINEC;10 Rue Pablo Neruda;29730;;02.98.58.13.92;02 98 58 06 45;ce.0291631r@ac-rennes.fr;29072;29730;1631R;Paul Langevin;10 Rue Pablo Neruda;;47.801237, -4.284934
Privé;LE RELECQ-KERHUON;Rue Gay Lussac;29480;;02.98.30.56.83;02 98 28 45 10;skolaj.ar.releg@diwan.bzh;29235;29480;2055B;Diwan Penn Ar Bed;Rue Gay Lussac;;48.397587, -4.412116
